Geneid,3T3L1-D0-rep1_aligned.bam,3T3L1-D0-rep2_aligned.bam,3T3L1-D0-rep3_aligned.bam,3T3L1-D2-rep1_aligned.bam,3T3L1-D2-rep2_aligned.bam,3T3L1-D2-rep3_aligned.bam,3T3L1-D6-rep1_aligned.bam,3T3L1-D6-rep2_aligned.bam,3T3L1-D6-rep3_aligned.bam
ENSMUSG00000104478,0,0,0,0,0,0,0,0,0
ENSMUSG00000104385,1,0,1,1,0,1,0,1,1
ENSMUSG00000101231,0,0,0,0,0,0,0,0,0
ENSMUSG00000101097,6,10,10,14,6,9,9,11,12
ENSMUSG00000100764,0,0,0,1,1,1,1,3,1
ENSMUSG00000100831,0,0,0,0,0,0,0,0,0
ENSMUSG00000100884,0,0,0,0,0,0,0,0,0
ENSMUSG00000100635,0,0,0,1,2,2,0,0,1
ENSMUSG00000100480,2,3,2,0,5,2,0,0,1
ENSMUSG00000089037,0,0,0,0,0,0,0,0,0
ENSMUSG00002076531,0,0,0,0,0,0,0,0,0
ENSMUSG00000100025,8,0,6,3,3,5,3,5,3
ENSMUSG00000026312,0,0,0,0,0,0,0,0,0
ENSMUSG00000100290,0,0,0,0,0,0,0,0,0
ENSMUSG00000100758,0,0,0,0,0,0,0,0,0
ENSMUSG00000099926,0,0,0,0,0,0,0,0,0
ENSMUSG00000039748,43,41,48,268,329,289,50,63,69
ENSMUSG00000118715,0,0,0,0,0,0,0,0,0
ENSMUSG00000104158,0,0,0,0,0,0,0,0,0
ENSMUSG00000103540,0,0,0,0,0,0,0,0,0
ENSMUSG00000057363,462,416,485,638,666,680,501,448,438
ENSMUSG00000047216,17,37,30,7,8,12,8,14,8
ENSMUSG00000102788,0,1,1,0,0,0,0,0,0
ENSMUSG00000102160,0,1,1,0,0,0,0,0,0
ENSMUSG00000101253,0,0,0,0,0,0,0,0,0
ENSMUSG00000101846,0,0,0,0,0,0,0,0,0
ENSMUSG00000090243,2,1,1,6,5,6,4,3,5
ENSMUSG00000100701,3,3,7,14,8,6,6,7,4
ENSMUSG00000100555,13,8,12,10,10,8,10,11,8
ENSMUSG00000101395,2,2,0,1,2,3,1,0,0
ENSMUSG00000102728,1,1,2,2,0,1,0,0,2
ENSMUSG00000088848,0,0,0,0,0,0,0,0,0
ENSMUSG00002075225,0,0,0,0,0,0,0,0,0
ENSMUSG00000038702,621,632,631,523,542,578,312,332,329
ENSMUSG00000101875,1,0,0,0,0,1,2,1,1
ENSMUSG00000099732,0,4,1,0,0,3,0,0,0
ENSMUSG00000101220,1,0,0,0,0,0,1,1,0
ENSMUSG00000100020,0,0,2,6,3,1,1,3,3
ENSMUSG00000088691,0,0,0,0,0,0,0,0,0
ENSMUSG00000099884,0,0,0,0,0,0,0,0,0
ENSMUSG00000100304,0,0,0,0,0,0,0,0,0
ENSMUSG00000101453,0,0,0,0,0,0,0,0,0
ENSMUSG00000102105,0,0,0,0,0,0,0,0,0
ENSMUSG00000099943,0,0,0,0,0,0,0,0,0
ENSMUSG00002075119,0,0,0,0,0,0,0,0,0
ENSMUSG00000101687,4,8,3,0,11,7,6,3,4
ENSMUSG00000055214,0,0,0,0,1,0,0,0,0
ENSMUSG00000078184,18,28,16,18,14,12,8,8,9
ENSMUSG00000104363,0,0,0,0,0,0,0,0,0
ENSMUSG00000103277,0,0,0,0,0,0,0,0,0
ENSMUSG00000104157,0,0,0,0,0,0,0,0,0
ENSMUSG00000102446,0,0,0,0,0,0,0,0,0
ENSMUSG00000104248,0,0,0,0,0,0,0,0,0
ENSMUSG00000103471,0,0,0,0,0,0,0,0,0
ENSMUSG00000087875,0,0,0,0,0,0,0,0,0
ENSMUSG00000070695,0,0,0,5,8,9,1,1,0
ENSMUSG00002076179,0,0,0,0,0,0,0,0,0
ENSMUSG00000102033,0,0,0,0,0,0,0,0,0
ENSMUSG00000094429,0,0,0,0,0,0,0,0,0
ENSMUSG00000065625,0,0,0,0,0,0,0,0,0
ENSMUSG00000103411,0,0,0,0,0,0,1,1,1
ENSMUSG00000061024,187,178,178,336,369,330,286,229,227
ENSMUSG00000102030,1,2,0,3,1,1,0,1,1
ENSMUSG00000025911,51,70,59,56,67,70,1347,1235,1417
ENSMUSG00000081441,0,1,1,1,1,1,1,2,3
ENSMUSG00000067879,1,0,0,0,0,0,1,0,0
ENSMUSG00000099827,0,0,0,0,0,0,0,0,0
ENSMUSG00000057335,2997,2648,2896,2232,2044,2305,2185,2402,2162
ENSMUSG00000103634,5,3,2,5,7,6,2,1,3
ENSMUSG00000104154,18,27,9,17,20,24,15,17,17
ENSMUSG00000065573,0,0,0,1,0,0,0,0,0
ENSMUSG00002076271,0,0,0,0,0,0,0,0,0
ENSMUSG00000025912,28,39,29,103,112,123,45,65,59
ENSMUSG00000045210,1094,1060,1080,1015,887,1020,1506,1589,1576
ENSMUSG00000041763,1497,1521,1498,1950,1942,2145,1784,1828,1873
ENSMUSG00000026504,382,345,342,303,329,350,184,229,241
ENSMUSG00000103367,0,0,0,0,0,0,0,0,0
ENSMUSG00000103584,0,0,0,0,0,0,0,0,0
ENSMUSG00002076339,0,0,0,0,0,0,0,0,0
ENSMUSG00000102475,0,0,0,0,0,0,0,0,0
ENSMUSG00000047343,0,1,0,1,1,0,2,1,0
ENSMUSG00000102211,1,3,0,1,1,0,0,1,0
ENSMUSG00000090106,0,0,0,0,0,0,0,0,0
ENSMUSG00000103251,1,1,3,1,1,4,1,1,3
ENSMUSG00000091844,2,1,0,9,10,8,3,4,3
ENSMUSG00000026483,1836,1803,1819,721,805,828,2380,2477,2384
ENSMUSG00000098611,0,0,0,0,0,0,0,0,0
ENSMUSG00000100534,7,1,6,1,1,1,1,0,4
ENSMUSG00000102904,0,0,0,0,0,0,0,0,0
ENSMUSG00002076350,0,0,0,0,0,0,0,0,0
ENSMUSG00000019699,1401,1461,1429,855,811,816,915,1018,1094
ENSMUSG00000104391,4,3,2,2,4,6,2,0,7
ENSMUSG00000102133,1,2,1,3,3,2,2,1,3
ENSMUSG00000102749,0,0,0,0,0,1,0,0,0
ENSMUSG00000103163,1,0,0,1,0,0,0,0,0
ENSMUSG00000103646,1,1,0,1,0,1,0,0,0
ENSMUSG00000102427,0,0,0,0,1,0,1,0,0
ENSMUSG00000063659,181,181,180,254,263,209,475,463,500
ENSMUSG00000026049,31,32,38,149,118,134,60,68,80
ENSMUSG00000103767,0,0,0,0,0,0,0,0,0
ENSMUSG00000043019,889,866,939,1428,1365,1484,1216,1185,1131
ENSMUSG00000101104,0,0,0,0,0,0,0,0,0
ENSMUSG00000015962,0,0,0,2,0,0,0,1,0
ENSMUSG00000032666,368,369,368,301,351,338,237,286,239
ENSMUSG00000084557,0,0,0,0,0,0,0,0,0
ENSMUSG00000100685,0,0,0,0,0,0,0,0,0
ENSMUSG00000102090,0,0,0,1,0,1,0,0,0
ENSMUSG00000103744,0,0,0,0,0,0,0,0,0
ENSMUSG00000015961,1385,1402,1276,1768,1648,1756,1154,1132,1183
ENSMUSG00000089657,2,0,3,1,2,2,0,0,1
ENSMUSG00000102483,0,1,1,0,0,0,0,0,0
ENSMUSG00000014980,122,132,127,122,153,173,118,96,103
ENSMUSG00000026235,408,387,420,238,183,163,217,241,190
ENSMUSG00000099141,0,0,0,0,0,0,0,0,0
ENSMUSG00000032649,0,0,0,0,3,0,1,0,1
ENSMUSG00000101849,1,0,0,0,0,0,1,1,0
ENSMUSG00000101506,0,0,0,0,0,0,0,0,0
ENSMUSG00000065215,0,1,0,0,0,0,0,0,0
ENSMUSG00000026047,453,385,471,639,624,597,398,446,423
ENSMUSG00000080878,0,0,0,0,0,0,0,0,0
ENSMUSG00000091476,10,7,6,13,12,9,15,17,14
ENSMUSG00000104097,6,4,6,5,2,10,4,5,8
ENSMUSG00000119789,0,0,0,0,0,0,0,0,0
ENSMUSG00000102493,4,4,5,3,7,9,6,3,7
ENSMUSG00000041684,411,454,385,370,390,397,475,513,489
ENSMUSG00000026048,668,617,583,759,743,695,435,462,413
ENSMUSG00000046828,0,0,0,0,0,0,0,0,0
ENSMUSG00000089703,21,25,20,24,27,37,17,16,25
ENSMUSG00000100966,0,0,0,0,0,1,0,0,0
ENSMUSG00000101567,64,59,62,122,127,109,58,39,61
ENSMUSG00000026245,778,747,774,1481,1468,1472,1163,1066,1139
ENSMUSG00000104018,10,14,13,21,15,15,10,15,15
ENSMUSG00000090486,3,4,3,1,2,4,4,6,3
ENSMUSG00000026482,1098,1072,1069,1017,1059,989,1212,1221,1137
ENSMUSG00000086145,1,1,1,0,0,1,0,0,1
ENSMUSG00000080950,7,9,6,10,18,15,7,11,5
ENSMUSG00000099868,0,0,0,0,0,0,0,0,0
ENSMUSG00000055547,0,0,0,0,0,0,0,0,0
ENSMUSG00000012187,0,0,0,0,0,0,2,1,2
ENSMUSG00000008475,2113,2128,2189,1936,1882,1933,1612,1745,1727
ENSMUSG00000100562,0,0,0,0,0,0,0,0,0
ENSMUSG00000056870,963,923,868,626,632,759,522,647,541
ENSMUSG00000102319,5,4,3,3,0,3,1,1,1
ENSMUSG00000089877,2,2,1,1,0,0,0,0,1
ENSMUSG00000101701,3,0,1,0,0,3,1,0,4
ENSMUSG00000103071,0,0,0,0,0,0,0,0,1
ENSMUSG00000100434,2,1,0,0,1,0,0,0,0
ENSMUSG00000100013,2,1,0,1,1,2,0,1,1
ENSMUSG00000101251,0,0,0,0,0,0,0,0,0
ENSMUSG00000101937,0,0,0,0,0,0,0,1,1
ENSMUSG00002075531,0,0,0,0,0,0,0,0,0
ENSMUSG00000064954,0,0,0,0,0,0,0,0,0
ENSMUSG00000026495,62,70,71,40,39,40,42,54,41
ENSMUSG00000032883,326,310,342,338,302,334,427,430,474
ENSMUSG00000026480,4,2,2,1,2,2,1,0,2
