GeneID,GeneSymbol,log2FoldChange,lfcSE,stat,pvalue,padj
ENSMUSG00000000001,Gnai3,0.143565370406198,0.0558148069279361,NA,0.00985939222830361,0.0176764089197176
ENSMUSG00000000028,Cdc45,2.60054466011352,0.133756603321781,NA,4.21133194361809e-85,1.30317327366404e-83
ENSMUSG00000000037,Scml2,0.74942449352566,0.289231790492978,NA,0.00425814257491228,0.00810273201541385
ENSMUSG00000000056,Narf,0.084996914062823,0.0682959071354555,NA,0.2109774744515,0.280129805171598
ENSMUSG00000000058,Cav2,1.42499156090329,0.0547295275553069,NA,3.6615081870922e-150,2.78560398467756e-148
ENSMUSG00000000078,Klf6,-1.05195522411645,0.056584121731555,NA,1.12905860913528e-77,3.14442822644175e-76
ENSMUSG00000000085,Scmh1,-0.740469453517189,0.0888717277070483,NA,4.58795349134399e-17,2.59440618749097e-16
ENSMUSG00000000088,Cox5a,0.581172544561439,0.0771646247471666,NA,3.20358288635784e-14,1.56574988077834e-13
ENSMUSG00000000093,Tbx2,-0.454999501934804,0.30455092486548,NA,0.0920832866049173,0.135177987376722
ENSMUSG00000000126,Wnt9a,-1.2023756165568,0.448842957208418,NA,0.00151969016782917,0.00310467485688549
ENSMUSG00000000127,Fer,-0.642694765137394,0.0843794496677944,NA,1.51456616887546e-14,7.55394114799543e-14
ENSMUSG00000000131,Xpo6,0.050264787686603,0.0574376973239215,NA,0.380232773435139,0.462531029911429
ENSMUSG00000000134,Tfe3,-0.425758424660003,0.0592653858182349,NA,5.26044633815179e-13,2.39468537915398e-12
ENSMUSG00000000148,Brat1,0.305203212216269,0.0848140905057745,NA,0.000282985073614149,0.000638702635034193
ENSMUSG00000000149,Gna12,0.170868218903358,0.0591464626166825,NA,0.00375124568684953,0.00721386285229412
ENSMUSG00000000167,Pih1d2,-0.0465782622897236,0.339942336863551,NA,0.871505924800314,0.901805095752766
ENSMUSG00000000168,Dlat,0.504541355697659,0.0599188856659178,NA,2.80076399125695e-17,1.60886612182849e-16
ENSMUSG00000000171,Sdhd,0.501773721518149,0.0660762149323667,NA,2.33304982921297e-14,1.14819328294116e-13
ENSMUSG00000000182,Fgf23,-2.13460599978213,0.597460664942295,NA,4.3571854076781e-05,0.000109287011286825
ENSMUSG00000000184,Ccnd2,0.164725147291842,0.0528125513874791,NA,0.00183165438339819,0.00369888408176591
ENSMUSG00000000194,Gpr107,-0.256470248969211,0.0509091156592209,NA,4.31725897245519e-07,1.30716309327143e-06
ENSMUSG00000000223,Drp2,1.84865367825752,0.471394383578027,NA,1.16434463505964e-05,3.09301974593599e-05
