,3T3L1-D0-rep1,3T3L1-D0-rep2,3T3L1-D0-rep3,3T3L1-D2-rep1,3T3L1-D2-rep2,3T3L1-D2-rep3,3T3L1-D6-rep1,3T3L1-D6-rep2,3T3L1-D6-rep3
ENSMUSG00000101097,5.93775046830356,10.0669232186492,9.89699647557219,14.2266150647447,6.25148982631791,9.26358805120959,8.72166357324594,10.5831672826901,11.7236033249212
ENSMUSG00000039748,42.5538783561755,41.2743851964619,47.5055830827465,272.338059810827,342.790025476432,297.464105199952,48.453686518033,60.6126853463159,67.4107191182972
ENSMUSG00000057363,457.206786059374,418.784005895808,480.004329065251,648.327172236222,693.915370721287,699.915541646947,485.505938910691,431.023540240468,427.911521359625
ENSMUSG00000047216,16.8236263268601,37.2476159090022,29.6909894267166,7.11330753237235,8.33531976842387,12.3514507349461,7.75258984288528,13.4694856325146,7.8157355499475
ENSMUSG00000100555,12.8651260146577,8.05353857491939,11.8763957706866,10.1618679033891,10.4191497105298,8.23430048996408,9.6907373036066,10.5831672826901,7.8157355499475
ENSMUSG00000038702,614.557173469419,636.229547418632,624.500477608605,531.465691347248,564.717914310717,594.928210399905,302.351003872526,319.419230713919,321.422124491591
ENSMUSG00000078184,17.8132514049107,28.1873850122179,15.8351943609155,18.2913622261003,14.5868095947418,12.3514507349461,7.75258984288528,7.69684893286551,8.79270249369093
ENSMUSG00000061024,185.059889595461,179.191233291956,176.166537265185,341.438761553873,384.466624318551,339.664895211018,277.155086883149,220.322300703275,221.77149622976
ENSMUSG00000025911,50.4708789805803,70.4684625305446,58.3922792058759,56.9064602589788,69.8083030605499,72.0501292871857,1305.34231479581,1188.20105401111,1384.36215928445
ENSMUSG00000057335,2965.90635891763,2665.72126829832,2866.17017932571,2268.12891603644,2129.6742008323,2372.5078286709,2117.42610083804,2310.97889209287,2112.20253237331
ENSMUSG00000104154,17.8132514049107,27.1806926903529,8.90729682801497,17.2751754357614,20.8382994210597,24.7029014698922,14.5361059554099,16.3558039823392,16.6084380436384
ENSMUSG00000025912,27.7095021854166,39.261000552732,28.7012897791594,104.667239404907,116.694476757934,126.602370033198,43.6083178662297,62.5368975795323,57.6410496808628
